idRuta,rutaDirection,estNumber,estId
363,,11,7615
363,,12,7617
106,A,1,6404
106,A,2,6436
106,A,3,3002
106,A,4,2436
106,A,5,3851
106,A,6,2350
106,A,7,3047
106,A,8,3048
106,A,9,2825
106,A,10,3049
106,A,11,2826
106,A,12,2327
106,A,13,2328
106,A,14,2592
106,A,15,3164
106,A,16,865
106,A,17,867
106,A,18,869
106,A,19,871
106,A,20,873
106,A,21,875
106,A,22,877
106,A,23,879
106,A,24,881
106,A,25,883
106,A,26,885
106,A,27,886
106,A,28,887
106,A,29,888
106,A,30,889
106,A,31,890
106,A,32,891
106,A,33,893
106,A,34,895
106,A,35,897
106,A,36,900
106,A,37,903
106,A,38,906
106,A,39,1548
106,A,40,1550
106,A,41,1552
106,A,42,1554
106,A,43,1555
106,A,44,1556
106,A,45,2444
106,A,46,2054
106,A,47,1044
106,A,48,1375
106,A,49,1377
106,A,50,1379
106,A,51,1381
106,A,52,1382
106,A,53,1384
106,A,54,1385
106,A,55,1387
106,A,56,1388
106,A,57,1389
106,A,58,1391
106,A,59,1393
106,A,60,1394
106,A,61,1395
106,A,62,2208
106,A,63,2091
106,A,64,2378
106,A,65,2379
106,A,66,2793
106,A,67,1428
106,A,68,1429
106,A,69,1430
106,A,70,1431
106,A,71,1432
106,A,72,1434
106,A,73,1436
106,A,74,1715
106,A,75,1827
106,A,76,1874
106,A,77,1726
106,A,78,1751
106,A,79,1736
106,A,80,1737
106,A,81,2558
106,B,1,6404
106,B,2,6436
106,B,3,3002
106,B,4,2436
106,B,5,3851
106,B,6,2350
106,B,7,3047
106,B,8,3048
106,B,9,2825
106,B,10,3049
106,B,11,2826
106,B,12,2327
106,B,13,2328
106,B,14,2592
106,B,15,3164
106,B,16,865
106,B,17,867
106,B,18,869
106,B,19,871
106,B,20,873
106,B,21,875
106,B,22,877
106,B,23,879
106,B,24,881
106,B,25,883
106,B,26,885
106,B,27,886
106,B,28,887
106,B,29,888
106,B,30,889
106,B,31,890
106,B,32,891
106,B,33,893
106,B,34,895
106,B,35,897
106,B,36,900
106,B,37,903
106,B,38,906
106,B,39,1548
106,B,40,1550
106,B,41,1552
106,B,42,1554
106,B,43,1555
106,B,44,1556
106,B,45,2444
106,B,46,2054
106,B,47,1044
106,B,48,1375
106,B,49,1377
106,B,50,1379
106,B,51,1381
106,B,52,1382
106,B,53,1384
106,B,54,1385
106,B,55,1387
106,B,56,1388
106,B,57,1389
106,B,58,1391
106,B,59,1393
106,B,60,1394
106,B,61,1395
106,B,62,2208
106,B,63,2091
106,B,64,2378
106,B,65,2379
106,B,66,2793
106,B,67,1428
106,B,68,1429
106,B,69,1430
106,B,70,1431
106,B,71,1432
106,B,72,1434
106,B,73,1436
106,B,74,1715
106,B,75,1827
106,B,76,1874
106,B,77,1726
106,B,78,1751
106,B,79,1736
106,B,80,1737
106,B,81,2558
128,A,1,2250
128,A,2,2251
128,A,3,2256
128,A,4,2230
128,A,5,2231
128,A,6,2232
128,A,7,2240
128,A,8,2241
128,A,9,2286
128,A,10,2287
128,A,11,2228
128,A,12,2224
128,A,13,2225
128,A,14,2236
128,A,15,2252
128,A,16,2253
128,A,17,2254
128,A,18,1074
128,A,19,1076
128,A,20,1078
128,A,21,1080
128,A,22,1082
128,A,23,1084
128,A,24,1086
128,A,25,1088
128,A,26,215
128,A,27,220
128,A,28,223
128,A,29,224
128,A,30,228
128,A,31,231
128,A,32,234
128,A,33,236
128,A,34,238
128,A,35,240
128,A,36,1947
128,A,37,1948
128,A,38,1949
128,A,39,2022
128,A,40,2023
128,A,41,2294
128,A,42,1433
128,A,43,1435
128,A,44,1715
128,A,45,1827
128,A,46,1726
128,A,47,1751
128,A,48,1736
128,A,49,2082
128,A,50,7209
128,B,1,2250
128,B,2,2251
128,B,3,2256
128,B,4,2230
128,B,5,2231
