idRuta,tipoRuta,codigoRuta,rutaNombre,rutaLink
250,9,14-3,Girardot,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=250&tr=&estacion=&tipoRuta=9
251,9,14-4,Laches,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=251&tr=&estacion=&tipoRuta=9
252,9,14-7,Ramírez,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=252&tr=&estacion=&tipoRuta=9
230,9,15-2,San Cristobal,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=230&tr=&estacion=&tipoRuta=9
231,9,15-3,Horacio Orjuela,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=231&tr=&estacion=&tipoRuta=9
232,9,15-4,Ramajal,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=232&tr=&estacion=&tipoRuta=9
233,9,15-5,La María,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=233&tr=&estacion=&tipoRuta=9
234,9,15-7,Calle 11 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=234&tr=&estacion=&tipoRuta=9
634,9,16-12,Belén,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=634&tr=&estacion=&tipoRuta=9
235,9,17-1,Villaluz,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=235&tr=&estacion=&tipoRuta=9
236,9,17-2,Santa Helenita,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=236&tr=&estacion=&tipoRuta=9
237,9,17-3,Modelia,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=237&tr=&estacion=&tipoRuta=9
