estId,estSITPNumber,estNombre,estDireccion,estLink,estlongtitude,estlatitude
1087,108B04,IED Tabora Sede B,AV. Boyac&aacute; - CL 74,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1087,"-74,093381","4,689981"
1089,109B04,Avenida Chile,AV. Boyac&aacute; - AC 72,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1089,"-74,095054","4,68757"
274,180B05,Br. Palo Blanco,AC 72 - AK 70,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=274,"-74,092132","4,684384"
277,181B05,Br. La Estrada,AC 72 - KR 69K,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=277,"-74,090757","4,682982"
280,182B05,Br. La Estrada,AC 72 ? KR 69A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=280,"-74,089731","4,681896"
283,183B05,Br. Ferias,AC 72 ? KR 68G,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=283,"-74,087972","4,679893"
445,321B00,Estación Ricaurte,AK 27 - AC 13,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=445,"-74,089081","4,612505"
448,322B00,Br. Ricaurte,AK 27 - CL 10,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=448,"-74,092168","4,608671"
451,010B00,IED Ricaurte,AK 27 - CL 6,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=451,"-74,094721","4,605428"
453,323B00,Br. Veraguas,AK 27 - CL 4A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=453,"-74,097673","4,601711"
456,011B00,CAI Santa Isabel,AK 27 - CL 1G,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=456,"-74,09961","4,599275"
459,084A10,Br. La Fragua,AK 27 - CL 14 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=459,"-74,104972","4,593325"
460,083A10,Br. Santander,AK 27 - CL 18 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=460,"-74,107082","4,5913"
461,334A10,Br. Santander Norte,AK 27 - CL 19 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=461,"-74,108766","4,589681"
462,082A10,IED Francisco de Paula Santander Sede A,AK 27 - CL 26 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=462,"-74,111121","4,588883"
463,336A10,Br. Santander Sur,AK 27 - CL 30A Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=463,"-74,11368","4,588714"
464,081A10,IED Libertador Sede B,AK 27 - CL 31B Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=464,"-74,116989","4,588626"
466,319B10,Br. Villa Mayor Antigua,AK 27 - CL 35 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=466,"-74,119717","4,589291"
4384,322A10,Br. Inglés,TV 23 - KR 28A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4384,"-74,123251","4,585916"
3737,160A10,Br.  Inglés,KR 27 - CL 42 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3737,"-74,125808","4,583619"
1801,059A10,Br. Claret,AC 44 Sur - KR 26,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1801,"-74,126765","4,582214"
1802,061A10,Br. Santa Lucía,AC 44 Sur - KR 24B,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1802,"-74,126024","4,580436"
2949,073A11,Parroquia Santa Lucía,AC 44 Sur - KR 20,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2949,"-74,124155","4,576031"
2950,034A11,Santa Lucía,AV. Caracas - CL 45 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2950,"-74,123824","4,574037"
3748,375A11,Estación Santa Lucía,CL 46 Sur - KR 19A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3748,"-74,125281","4,570793"
3268,137A12,Instituto Ramón iceño,DG 46 Sur - KR 16J,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3268,"-74,12294","4,568966"
3269,135A12,Marco Fidel Suárez I,DG 46 Sur - KR 16A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3269,"-74,120803","4,568284"
2951,283A12,Br. Marco Fidel Suárez I,DG 46 Sur - TV 13,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2951,"-74,116325","4,567344"
3749,284A12,Carmen del Sol,CL 43 Sur - TV 12B Bis,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3749,"-74,11376","4,566554"
4385,392A12,El Triunfo,DG 43 Sur - KR 12A Bis,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4385,"-74,111712","4,565358"
4386,287A12,Carmen del Sol,CL 43A Sur - TV 12 Bis,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4386,"-74,110753","4,563911"
4387,299A12,AV. Darío Echandía,CL 43A Sur - KR 11,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4387,"-74,10883","4,563676"
2952,066A12,Puerto Rico,DG 38E Sur - TV 11A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2952,"-74,107866","4,56483"
